"date","winner","loser"
"2020.12.31","김희수","김준석"
"2020.12.31","강유택","김영도"
"2020.12.31","셰커","판팅위"
"2020.12.31","미위팅","쉬자양"
"2020.12.31","오병우","박하민"
"2020.12.31","설현준","심재익"
"2020.12.31","이동훈","박승화"
"2020.12.31","김명훈","김정현"
"2020.12.31","안성준","문유빈"
"2020.12.31","백현우","김세동"
"2020.12.31","박영훈","이창호"
"2020.12.30","김형우","오정아"
"2020.12.30","현유빈","김진휘"
"2020.12.30","오유진","이현준"
"2020.12.30","박현수","이 연"
"2020.12.30","금지우","문민종"
"2020.12.29","김기범","이성재"
"2020.12.29","유창주","이 연"
"2020.12.29","윤찬희","유창주"
"2020.12.29","판팅위","커제"
"2020.12.29","미위팅","셰얼하오"
"2020.12.29","쉬자양","멍타이링"
"2020.12.29","김창훈","백현우"
"2020.12.29","조완규","오유진"
"2020.12.29","강승민","안정기"
"2020.12.28","최재영","김명훈"
"2020.12.28","박종훈","권주리"
"2020.12.28","박창명","이성재"
"2020.12.28","김영삼","이성재"
"2020.12.28","김성진","김미리"
"2020.12.28","김영광","박영찬"
"2020.12.28","안정기","김경은"
"2020.12.28","강동윤","한상조"
"2020.12.28","서중휘","박상돈"
"2020.12.27","백찬희","김민호"
"2020.12.27","박영롱","이원도"
"2020.12.27","송규상","박창명"
"2020.12.27","나 현","강유택"
"2020.12.27","심재익","윤준상"
"2020.12.27","박진솔","한승주"
"2020.12.27","송지훈","이영구"
"2020.12.27","박정환","최 정"
"2020.12.26","이춘규","이호범"
"2020.12.26","오병우","주형욱"
"2020.12.26","김세동","김상천"
"2020.12.26","금지우","신재원"
"2020.12.26","박재근","김성진"
"2020.12.26","한상훈","김희수"
"2020.12.26","신민준","문민종"
"2020.12.26","이원영","허영호"
"2020.12.26","안정기","박상진"
"2020.12.26","김지석","박하민"
"2020.12.26","설현준","강동윤"
"2020.12.25","김명훈","최광호"
"2020.12.25","변상일","백홍석"
"2020.12.25","문유빈","최철한"
"2020.12.25","이창석","이동훈"
"2020.12.25","박건호","이창호"
"2020.12.24","허 진","박지현"
"2020.12.24","박주민","전용수"
"2020.12.24","문지환","박영찬"
"2020.12.24","윤민중","유창주"
"2020.12.24","이 연","최은규"
"2020.12.24","이현준","오병우"
"2020.12.24","김지명","안정기"
"2020.12.24","최은규","김경은"
"2020.12.24","안정기","오병우"
"2020.12.24","이호승","박종훈"
"2020.12.24","김정현","이태현"
"2020.12.24","안성준","조한승"
"2020.12.24","원성진","박승화 "
"2020.12.24","신진서","백현우"
"2020.12.24","강승민","박영훈"
"2020.12.24","나 현","박현수"
"2020.12.23","금지우","현유빈"
"2020.12.23","김형우","김성진"
"2020.12.23","이현준","김희수"
"2020.12.23","한웅규","박주민"
"2020.12.23","허 진","박창명"
"2020.12.23","김준석","차민수"
"2020.12.23","김미리","배준희"
"2020.12.23","강지수","천풍조"
"2020.12.23","김동우","이 연"
"2020.12.23","안정기","유창주"
"2020.12.23","권효진(남)","김경은"
"2020.12.23","윤민중","서능욱"
"2020.12.23","이태현","권효진(남)"
"2020.12.23","이원영","윤민중"
"2020.12.23","선승민","주치홍"
"2020.12.23","이호승","박진영"
"2020.12.23","심재익","이승준"
"2020.12.23","심재익","김상윤"
"2020.12.23","나 현","윤찬희"
"2020.12.23","리쉬안하오","자오천위"
"2020.12.23","황신","허위한"
"2020.12.23","양딩신","미위팅"
"2020.12.23","황윈쑹","셰허"
"2020.12.23","신진서","구링이"
"2020.12.23","박정환","리친청"
"2020.12.23","셰커","당이페이"
"2020.12.23","롄샤오","랴오위안허"
"2020.12.23","쉬자양","이링타오"
"2020.12.23","양카이원","시바노 도라마루"
"2020.12.23","구쯔하오","장웨이제"
"2020.12.23","판팅위","변상일"
"2020.12.23","정유진","우이밍"
"2020.12.23","구리","윤준상"
"2020.12.23","창하오","이창호"
"2020.12.23","조훈현","녜웨이핑"
"2020.12.22","한웅규","김일환"
"2020.12.22","전용수","윤예성"
"2020.12.22","한웅규","차민수"
"2020.12.22","차민수","백대현"
"2020.12.22","전용수","김기범"
"2020.12.22","김준석","박주민"
"2020.12.22","한웅규","박창명"
"2020.12.22","차주혜","천풍조"
"2020.12.22","김영광","도은교"
"2020.12.22","심준섭","강 훈(大)"
"2020.12.22","심준섭","김수진"
"2020.12.22","이도현","강 훈(大)"
"2020.12.22","김세현","서능욱"
"2020.12.22","김동우","윤민중"
"2020.12.22","김승준","최은규"
"2020.12.22","윤찬희","이현준"
"2020.12.22","김동우","김경은"
"2020.12.22","이태현","최은규"
"2020.12.22","윤민중","정두호"
"2020.12.22","현유빈","김창훈"
"2020.12.22","강유택","주치홍"
"2020.12.22","강유택","선승민"
"2020.12.22","심재익","백현우"
"2020.12.22","이재성","강지범"
"2020.12.22","진시영","백현우"
"2020.12.22","정유진","우에노 리사"
"2020.12.22","윤준상","고노린"
"2020.12.22","이창호","야마시타 게이고"
"2020.12.22","조훈현","다케미야 마사키"
"2020.12.22","양딩신","황신"
"2020.12.22","미위팅","리샹위"
"2020.12.22","리쉬안하오","천셴(賢)"
"2020.12.22","황윈쑹","구리"
"2020.12.22","셰커","랴오위안허"
"2020.12.22","롄샤오","박정환"
"2020.12.22","신진서","당이페이"
"2020.12.22","리친청","구링이"
"2020.12.22","판팅위","변상일"
"2020.12.22","구쯔하오","시바노 도라마루"
"2020.12.22","쉬자양","이링타오"
"2020.12.22","장웨이제","양카이원"
"2020.12.21","박주민","박지영"
"2020.12.21","배준희","서무상"
"2020.12.21","이현욱","김성진"
"2020.12.21","배준희","김수용"
"2020.12.21","유병호","윤종섭"
"2020.12.21","강우혁","김강민"
"2020.12.21","이태현","윤찬희"
"2020.12.21","최은규","이현준"
"2020.12.21","김지명","김동우"
"2020.12.21","이태현","오병우"
"2020.12.21","황재연","이상헌"
"2020.12.21","신재원","현유빈"
"2020.12.21","최광호","이상헌"
"2020.12.21","이원도","이승준"
"2020.12.21","박진영","박종훈"
"2020.12.21","이호승","진시영"
"2020.12.21","설현준","이동훈"
"2020.12.21","우이밍","우에노 리사"
"2020.12.21","구리","고노린"
"2020.12.21","창하오","야마시타 게이고"
"2020.12.21","녜웨이핑","다케미야 마사키"
"2020.12.21","딩스슝","천이춘"
"2020.12.21","한이저우","차오샤오양"
"2020.12.21","김지석","랴오싱원"
"2020.12.21","천쯔젠","나 현"
"2020.12.21","탄샤오","야오샤오퉁"
"2020.12.21","장치룬","황징위안"
"2020.12.21","퉁멍청","리청선"
"2020.12.21","멍타이링","장타오(濤)"
"2020.12.21","변상일","리친청"
"2020.12.21","신진서","쉬자양"
"2020.12.21","구쯔하오","셰커"
"2020.12.21","롄샤오","양카이원"
"2020.12.21","판팅위","랴오위안허"
"2020.12.21","이링타오","구링이"
"2020.12.21","장웨이제","박정환"
"2020.12.21","당이페이","저우루이양"
"2020.12.20","쉬하오홍","딩스슝"
"2020.12.20","한이저우","랴오싱원"
"2020.12.20","김지석","차오샤오양"
"2020.12.20","천쯔젠","나 현"
"2020.12.20","탄샤오","리청선"
"2020.12.20","장타오(濤)","황징위안"
"2020.12.20","장치룬","왕스이"
"2020.12.20","퉁멍청","멍타이링"
"2020.12.20","쉬자양","신진서"
"2020.12.20","변상일","롄샤오"
"2020.12.20","셰커","구쯔하오"
"2020.12.20","양카이원","리친청"
"2020.12.20","구링이","시바노 도라마루"
"2020.12.20","당이페이","이링타오"
"2020.12.20","장웨이제","랴오위안허"
"2020.12.20","박정환","판팅위"
"2020.12.20","송규상","김세동"
"2020.12.20","박영롱","이춘규"
"2020.12.20","주형욱","김민호"
"2020.12.20","이태현","송지훈"
"2020.12.20","박정환","신진서"
"2020.12.20","강승민","윤준상"
"2020.12.20","원성진","박진솔"
"2020.12.20","조한승","강유택"
"2020.12.19","박재근","백찬희"
"2020.12.19","한상훈","박창명"
"2020.12.19","이원도","신재원"
"2020.12.19","이호범","오유진"
"2020.12.19","김진휘","오병우"
"2020.12.19","김상천","오정아"
"2020.12.19","허영호","이창호"
"2020.12.19","문유빈","안정기"
"2020.12.19","이동훈","신민준"
"2020.12.19","박하민","김명훈"
"2020.12.19","강동윤","백홍석"
"2020.12.18","허 진","윤예성"
"2020.12.18","김기범","박지영"
"2020.12.18","윤예성","박지영"
"2020.12.18","김노경","유주현"
"2020.12.18","정유진","박소율"
"2020.12.18","정유진","유주현"
"2020.12.18","권효진(여)","곽원근"
"2020.12.18","김승준","유창주"
